sequence	bank	text_id	kind	source_location	packed_bytes	japanese_exact	japanese_readable	mechanical_romaji	normalized_japanese_aid	current_english_exact	current_english_readable	source_controls	english_controls	control_match	script_profile	voice_dialect_register	orthography_kanji_katakana	comparison_flags	review_priority	proposed_retranslation	reviewer_notes
11	TT1A	TT1A/g0/r10	scenario	group 0 @ 0xA4C2; record 10	group-compressed	つきあったこが 3にんいじょう いる	つきあったこが 3にんいじょう いる	tsukiattakoga 3ninijou iru	つきあったこが 3にんいじょう いる	Have you dated at least three girls?	Have you dated at least three girls?			yes	hiragana:15; katakana:0; kanji:0; Latin:0; digits:1; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	source numerals ['3']; verify dates/counts and Japanese ordering	medium		
12	TT1A	TT1A/g0/r11	scenario	group 0 @ 0xA4C2; record 11	group-compressed	かなしばりに あったことがある	かなしばりに あったことがある	kanashibarini attakotogaaru	かなしばりに あったことがある	Have you had sleep      paralysis?	Have you had sleep      paralysis?			yes	hiragana:14; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	English contains padding used for layout or packed size	medium		
13	TT1A	TT1A/g0/r12	scenario	group 0 @ 0xA4C2; record 12	group-compressed	なぐりたいやつが3にんいじょう いる	なぐりたいやつが3にんいじょう いる	naguritaiyatsuga3ninijou iru	なぐりたいやつが3にんいじょう いる	Do you want to hit      3 or more people?	Do you want to hit      3 or more people?			yes	hiragana:16; katakana:0; kanji:0; Latin:0; digits:1; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	source numerals ['3']; verify dates/counts and Japanese ordering | English contains padding used for layout or packed size	medium		
14	TT1A	TT1A/g0/r13	scenario	group 0 @ 0xA4C2; record 13	group-compressed	ひとり ひざをかかえてないたことがある	ひとり ひざをかかえてないたことがある	hitori hizaokakaetenaitakotogaaru	ひとり ひざをかかえてないたことがある	Have you curled up and  cried?	Have you curled up and  cried?			yes	hiragana:18; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	English contains padding used for layout or packed size	medium		
15	TT1A	TT1A/g0/r14	scenario	group 0 @ 0xA4C2; record 14	group-compressed	あそぶじかんをけずってまで しごとをしたくない	あそぶじかんをけずってまで しごとをしたくない	asobujikanokezuttemade shigotooshitakunai	あそぶじかんをけずってまで しごとをしたくない	Don't want work cutting into your free time?	Don't want work cutting into your free time?			yes	hiragana:22; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		じかん → 時間		low		
16	TT1A	TT1A/g0/r15	scenario	group 0 @ 0xA4C2; record 15	group-compressed	ぶらんどには こだわるほうだ	ぶらんどには こだわるほうだ	burandoniha kodawaruhouda	ぶらんどには こだわるほうだ	Do brand names matter?	Do brand names matter?			yes	hiragana:13; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	だわ: traditionally feminine-coded sentence ending	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
17	TT1A	TT1A/g0/r16	scenario	group 0 @ 0xA4C2; record 16	group-compressed	あしたできることは きょうしない	あしたできることは きょうしない	ashitadekirukotoha kyoushinai	あしたできることは きょうしない	Do you leave work until tomorrow?	Do you leave work until tomorrow?			yes	hiragana:15; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
18	TT1A	TT1A/g0/r17	scenario	group 0 @ 0xA4C2; record 17	group-compressed	じぶんをまもるのは けっきょくじぶんだけだ	じぶんをまもるのは けっきょくじぶんだけだ	jibunomamorunoha kekkyokujibundakeda	じぶんをまもるのは けっきょくじぶんだけだ	Do you believe only you can protect yourself?	Do you believe only you can protect yourself?			yes	hiragana:20; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
19	TT1A	TT1A/g0/r18	scenario	group 0 @ 0xA4C2; record 18	group-compressed	しょうらいは しゃかいのやくにたちたい	しょうらいは しゃかいのやくにたちたい	shouraiha shakainoyakunitachitai	しょうらいは しゃかいのやくにたちたい	Want to help society    someday?	Want to help society    someday?			yes	hiragana:18; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	English contains padding used for layout or packed size	medium		
20	TT1A	TT1A/g0/r19	scenario	group 0 @ 0xA4C2; record 19	group-compressed	ふとくみじかく いきたい	ふとくみじかく いきたい	futokumijikaku ikitai	ふとくみじかく いきたい	Do you want a brief,    full life?	Do you want a brief,    full life?			yes	hiragana:11; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	English contains padding used for layout or packed size	medium		
21	TT1A	TT1A/g0/r20	scenario	group 0 @ 0xA4C2; record 20	group-compressed	あいがあれば なにもいらない	あいがあれば なにもいらない	aigaareba nanimoiranai	あいがあれば なにもいらない	Is love all you need?	Is love all you need?			yes	hiragana:13; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
22	TT1A	TT1A/g0/r21	scenario	group 0 @ 0xA4C2; record 21	group-compressed	しばらく おまちください	しばらく おまちください	shibaraku omachikudasai	しばらく おまちください	Please wait.	Please wait.			yes	hiragana:11; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
23	TT1A	TT1A/g0/r22	scenario	group 0 @ 0xA4C2; record 22	group-compressed	あなたのせいかくは……	あなたのせいかくは……	anatanoseikakuha……	あなたのせいかくは……	Your personality is...	Your personality is...			yes	hiragana:9; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
24	TT1A	TT1A/g0/r23	scenario	group 0 @ 0xA4C2; record 23	group-compressed	あらそいをこのまない くーるなへいわしゅぎしゃ{CTRL:0}じょうほうかんりにすぐれた いんてりたいぷです{CTRL:2}しゃこうてきなはんめん そしきにぞくすることを{CTRL:0}きらい ふかいつきあいをさけているうちに{CTRL:4}こりつしてしまうことも しばしば{CTRL:3}そういうじぶんさえ きゃっかんてきに{CTRL:4}ぶんせきしてしまう どくとくのせいかくです	あらそいをこのまない くーるなへいわしゅぎしゃ ⟦CTRL:0⟧ じょうほうかんりにすぐれた いんてりたいぷです ⟦CTRL:2⟧ しゃこうてきなはんめん そしきにぞくすることを ⟦CTRL:0⟧ きらい ふかいつきあいをさけているうちに ⟦CTRL:4⟧ こりつしてしまうことも しばしば ⟦CTRL:3⟧ そういうじぶんさえ きゃっかんてきに ⟦CTRL:4⟧ ぶんせきしてしまう どくとくのせいかくです	arasoiokonomanai kuurunaheiwashugisha / jouhoukanrinisugureta interitaipudesu / shakoutekinahanmen soshikinizokusurukotoo / kirai fukaitsukiaiosaketeiruuchini / koritsushiteshimaukotomo shibashiba / souiujibunsae kyakkantekini / bunsekishiteshimau dokutokunoseikakudesu	あらそいをこのまない くーるなへいわしゅぎしゃじょうほうかんりにすぐれた いんてりたいぷですしゃこうてきなはんめん そしきにぞくすることをきらい ふかいつきあいをさけているうちにこりつしてしまうことも しばしばそういうじぶんさえ きゃっかんてきにぶんせきしてしまう どくとくのせいかくです	You avoid conflict.{CTRL:0}A cool-headed pacifist.{CTRL:2}Good with information.{CTRL:0}Social, but hate groups.{CTRL:4}You avoid close bonds.{CTRL:3}Often ending up alone.{CTRL:4}Self-aware and unusual.	You avoid conflict. ⟦CTRL:0⟧ A cool-headed pacifist. ⟦CTRL:2⟧ Good with information. ⟦CTRL:0⟧ Social, but hate groups. ⟦CTRL:4⟧ You avoid close bonds. ⟦CTRL:3⟧ Often ending up alone. ⟦CTRL:4⟧ Self-aware and unusual.	0,2,0,4,3,4	0,2,0,4,3,4	yes	hiragana:136; katakana:1; kanji:0; Latin:0; digits:0	わし: elderly or authoritative masculine first person; character voice, not necessarily regional | です/ます: polite register	へいわ → 平和		medium		
25	TT1A	TT1A/g0/r24	scenario	group 0 @ 0xA4C2; record 24	group-compressed	しんちょうで けいかくせいがあるため{CTRL:0}しっぱいはすくないが へいぼんになりやすい{CTRL:2}すじをとおし こつこつとどりょくする{CTRL:0}きまじめでがんこな がくしゃたいぷです{CTRL:3}ひとにきをつかいすぎて つかれてしまうことが{CTRL:4}あり れんあいもぶきようですが{CTRL:4}ないめんはとても ろまんちすとです	しんちょうで けいかくせいがあるため ⟦CTRL:0⟧ しっぱいはすくないが へいぼんになりやすい ⟦CTRL:2⟧ すじをとおし こつこつとどりょくする ⟦CTRL:0⟧ きまじめでがんこな がくしゃたいぷです ⟦CTRL:3⟧ ひとにきをつかいすぎて つかれてしまうことが ⟦CTRL:4⟧ あり れんあいもぶきようですが ⟦CTRL:4⟧ ないめんはとても ろまんちすとです	shinchoude keikakuseigaarutame / shippaihasukunaiga heibonninariyasui / sujiotooshi kotsukotsutodoryokusuru / kimajimedegankona gakushataipudesu / hitonikiotsukaisugite tsukareteshimaukotoga / ari renaimobukiyoudesuga / naimenhatotemo romanchisutodesu	しんちょうで けいかくせいがあるためしっぱいはすくないが へいぼんになりやすいすじをとおし こつこつとどりょくするきまじめでがんこな がくしゃたいぷですひとにきをつかいすぎて つかれてしまうことがあり れんあいもぶきようですがないめんはとても ろまんちすとです	Cautious, methodical.{CTRL:0}Rarely fail, yet plain.{CTRL:2}Principled, diligent{CTRL:0}scholarly, earnest, firm{CTRL:3}You care till worn out{CTRL:4}and fumble at romance,{CTRL:4}but romantic inside.	Cautious, methodical. ⟦CTRL:0⟧ Rarely fail, yet plain. ⟦CTRL:2⟧ Principled, diligent ⟦CTRL:0⟧ scholarly, earnest, firm ⟦CTRL:3⟧ You care till worn out ⟦CTRL:4⟧ and fumble at romance, ⟦CTRL:4⟧ but romantic inside.	0,2,0,3,4,4	0,2,0,3,4,4	yes	hiragana:123; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	です/ます: polite register	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
26	TT1A	TT1A/g0/r25	scenario	group 0 @ 0xA4C2; record 25	group-compressed	らくてんてきで だれにでもすかれる{CTRL:0}こせいゆたかな にんきもの{CTRL:2}すきなことには ねっちゅうするけれども{CTRL:0}きがむかないときは とたんにやるきをうしなって{CTRL:4}おもわぬぽかをしたりします{CTRL:3}こうきしんと するどいひらめきは{CTRL:4}じゃーなりすとに むいています	らくてんてきで だれにでもすかれる ⟦CTRL:0⟧ こせいゆたかな にんきもの ⟦CTRL:2⟧ すきなことには ねっちゅうするけれども ⟦CTRL:0⟧ きがむかないときは とたんにやるきをうしなって ⟦CTRL:4⟧ おもわぬぽかをしたりします ⟦CTRL:3⟧ こうきしんと するどいひらめきは ⟦CTRL:4⟧ じゃーなりすとに むいています	rakutentekide darenidemosukareru / koseiyutakana ninkimono / sukinakotoniha netchuusurukeredomo / kigamukanaitokiha totanniyarukioushinatte / omowanupokaoshitarishimasu / koukishinto surudoihiramekiha / jaanarisutoni muiteimasu	らくてんてきで だれにでもすかれるこせいゆたかな にんきものすきなことには ねっちゅうするけれどもきがむかないときは とたんにやるきをうしなっておもわぬぽかをしたりしますこうきしんと するどいひらめきはじゃーなりすとに むいています	Optimistic and popular,{CTRL:0}with unique charm.{CTRL:2}You chase what you like{CTRL:0}Moods sap your drive.{CTRL:4}Mistakes often follow.{CTRL:3}Curiosity, sharp insight{CTRL:4}fit you for journalism.	Optimistic and popular, ⟦CTRL:0⟧ with unique charm. ⟦CTRL:2⟧ You chase what you like ⟦CTRL:0⟧ Moods sap your drive. ⟦CTRL:4⟧ Mistakes often follow. ⟦CTRL:3⟧ Curiosity, sharp insight ⟦CTRL:4⟧ fit you for journalism.	0,2,0,4,3,4	0,2,0,4,3,4	yes	hiragana:109; katakana:1; kanji:0; Latin:0; digits:0	じゃ: old-person/western-style copula; context decides voice versus region | です/ます: polite register	Source suppresses normal kanji/katakana distinctions; restore only with context		high		
27	TT1A	TT1A/g0/r26	scenario	group 0 @ 0xA4C2; record 26	group-compressed	なにごとにもひたむきで ねっしん{CTRL:1}ものごとの ほんすじをみつめるめをもった{CTRL:0}せいじかたいぷです{CTRL:6}めいよをおもんじるが きんせんにはうとく{CTRL:4}じこしゅちょうのつよさが しばしばわがままに{CTRL:4}かわりやすくなります{CTRL:3}どらまちっくなれんあいを いつもゆめみています	なにごとにもひたむきで ねっしん ⟦CTRL:1⟧ ものごとの ほんすじをみつめるめをもった ⟦CTRL:0⟧ せいじかたいぷです ⟦CTRL:6⟧ めいよをおもんじるが きんせんにはうとく ⟦CTRL:4⟧ じこしゅちょうのつよさが しばしばわがままに ⟦CTRL:4⟧ かわりやすくなります ⟦CTRL:3⟧ どらまちっくなれんあいを いつもゆめみています	nanigotonimohitamukide nesshin / monogotono honsujiomitsumerumeomotta / seijikataipudesu / meiyooomonjiruga kinsennihautoku / jikoshuchounotsuyosaga shibashibawagamamani / kawariyasukunarimasu / doramachikkunarenaio itsumoyumemiteimasu	なにごとにもひたむきで ねっしんものごとの ほんすじをみつめるめをもったせいじかたいぷですめいよをおもんじるが きんせんにはうとくじこしゅちょうのつよさが しばしばわがままにかわりやすくなりますどらまちっくなれんあいを いつもゆめみています	Earnest, passionate.{CTRL:1}You see what matters,{CTRL:0}a born politician.{CTRL:6}Honor matters.{CTRL:4}Bad with money.{CTRL:4}Views can turn selfish.{CTRL:3}Dream of dramatic love.	Earnest, passionate. ⟦CTRL:1⟧ You see what matters, ⟦CTRL:0⟧ a born politician. ⟦CTRL:6⟧ Honor matters. ⟦CTRL:4⟧ Bad with money. ⟦CTRL:4⟧ Views can turn selfish. ⟦CTRL:3⟧ Dream of dramatic love.	1,0,6,4,4,3	1,0,6,4,4,3	yes	hiragana:115; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography	です/ます: polite register	Source suppresses normal kanji/katakana distinctions; restore only with context		medium		
28	TT1A	TT1A/g0/r27	scenario	group 0 @ 0xA4C2; record 27	group-compressed	「きょうのうんせい」{CTRL:0}{CTRL:2}きょうのひは あなたにとってわすれられない{CTRL:0}いちにちになりそうです{CTRL:3}れいせいなはんだんりょくと つよいいしが{CTRL:4}あなたをこううんへと みちびきます{CTRL:3}こうがいのはくぶつかんで であいのちゃんすあり{CTRL:4}すてきなじょせいが あなたのうでのなかへ{CTRL:4}きっと とびこんでくるでしょう{CTRL:3}ここできめる とどめのせりふ／{CTRL:3}そのことばは……	「きょうのうんせい」 ⟦CTRL:0⟧  ⟦CTRL:2⟧ きょうのひは あなたにとってわすれられない ⟦CTRL:0⟧ いちにちになりそうです ⟦CTRL:3⟧ れいせいなはんだんりょくと つよいいしが ⟦CTRL:4⟧ あなたをこううんへと みちびきます ⟦CTRL:3⟧ こうがいのはくぶつかんで であいのちゃんすあり ⟦CTRL:4⟧ すてきなじょせいが あなたのうでのなかへ ⟦CTRL:4⟧ きっと とびこんでくるでしょう ⟦CTRL:3⟧ ここできめる とどめのせりふ／ ⟦CTRL:3⟧ そのことばは……	「kyounounsei」 /  / kyounohiha anatanitottewasurerarenai / ichinichininarisoudesu / reiseinahandanryokuto tsuyoiishiga / anataokouunheto michibikimasu / kougainohakubutsukande deainochansuari / sutekinajoseiga anatanoudenonakahe / kitto tobikondekurudeshou / kokodekimeru todomenoserifu／ / sonokotobaha……	「きょうのうんせい」きょうのひは あなたにとってわすれられないいちにちになりそうですれいせいなはんだんりょくと つよいいしがあなたをこううんへと みちびきますこうがいのはくぶつかんで であいのちゃんすありすてきなじょせいが あなたのうでのなかへきっと とびこんでくるでしょうここできめる とどめのせりふ／そのことばは……	"""Today's Fortune""{CTRL:0}{CTRL:2}Today may be a day you{CTRL:0}never forget.{CTRL:3}Calm thought and resolve{CTRL:4}shall bring good luck.{CTRL:3}At a museum out of town,{CTRL:4}you may meet a woman.{CTRL:4}She runs into your arms.{CTRL:3}Use this perfect line:{CTRL:3}The magic words are..."	"""Today's Fortune"" ⟦CTRL:0⟧  ⟦CTRL:2⟧ Today may be a day you ⟦CTRL:0⟧ never forget. ⟦CTRL:3⟧ Calm thought and resolve ⟦CTRL:4⟧ shall bring good luck. ⟦CTRL:3⟧ At a museum out of town, ⟦CTRL:4⟧ you may meet a woman. ⟦CTRL:4⟧ She runs into your arms. ⟦CTRL:3⟧ Use this perfect line: ⟦CTRL:3⟧ The magic words are..."	0,2,0,3,4,3,4,4,3,3	0,2,0,3,4,3,4,4,3,3	yes	hiragana:148; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		はくぶつかん → 博物館 | いのち → 命 | ことば → 言葉	ellipsis carries timing/hesitation tone	low		
29	TT1A	TT1A/g0/r28	scenario	group 0 @ 0xA4C2; record 28	group-compressed	そのことばは……	そのことばは……	sonokotobaha……	そのことばは……	Those magic words are...	Those magic words are...			yes	hiragana:6; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		ことば → 言葉	ellipsis carries timing/hesitation tone	low		
30	TT1A	TT1A/g0/r29	scenario	group 0 @ 0xA4C2; record 29	group-compressed	……まらどぅる ばらお がらどぅーら……{CTRL:0}{CTRL:2}くりかえしくりかえし となえよ{CTRL:3}……まらどぅる ばらお がらどぅーら……{CTRL:4}……まらどぅる ばらお がらどぅーら……／	……まらどぅる ばらお がらどぅーら…… ⟦CTRL:0⟧  ⟦CTRL:2⟧ くりかえしくりかえし となえよ ⟦CTRL:3⟧ ……まらどぅる ばらお がらどぅーら…… ⟦CTRL:4⟧ ……まらどぅる ばらお がらどぅーら……／	……maraduru barao garaduura…… /  / kurikaeshikurikaeshi tonaeyo / ……maraduru barao garaduura…… / ……maraduru barao garaduura……／	……まらどぅる ばらお がらどぅーら……くりかえしくりかえし となえよ……まらどぅる ばらお がらどぅーら…………まらどぅる ばらお がらどぅーら……／	Maradul Barao Garadura{CTRL:0}{CTRL:2}Say it again and again.{CTRL:3}Maradul Barao Garadura{CTRL:4}Maradul Barao Garadura!	Maradul Barao Garadura ⟦CTRL:0⟧  ⟦CTRL:2⟧ Say it again and again. ⟦CTRL:3⟧ Maradul Barao Garadura ⟦CTRL:4⟧ Maradul Barao Garadura!	0,2,3,4	0,2,3,4	yes	hiragana:53; katakana:3; kanji:0; Latin:0; digits:0		Source suppresses normal kanji/katakana distinctions; restore only with context	ellipsis carries timing/hesitation tone	medium		
31	TT1A	TT1A/g0/r30	scenario	group 0 @ 0xA4C2; record 30	group-compressed	たいむとらべる か……{CTRL:1}はなしばっかりで じつげんしたためしが{CTRL:0}ないんだよなあ{CTRL:6}そんなことより……	たいむとらべる か…… ⟦CTRL:1⟧ はなしばっかりで じつげんしたためしが ⟦CTRL:0⟧ ないんだよなあ ⟦CTRL:6⟧ そんなことより……	taimutoraberu ka…… / hanashibakkaride jitsugenshitatameshiga / naindayonaa / sonnakotoyori……	たいむとらべる か……はなしばっかりで じつげんしたためしがないんだよなあそんなことより……	Time travel, huh...{CTRL:1}everyone talks about it,{CTRL:0}but nobody has done it.{CTRL:6}More importantly...	Time travel, huh... ⟦CTRL:1⟧ everyone talks about it, ⟦CTRL:0⟧ but nobody has done it. ⟦CTRL:6⟧ More importantly...	1,0,6	1,0,6	yes	hiragana:40; katakana:0; kanji:0; Latin:0; digits:0; phonetic hiragana orthography		たいむ → タイム | はなし → 話	ellipsis carries timing/hesitation tone	low		
