bank,index,source_label,decoded_label,slot_bytes,representation,proposed_full_label,fallback_label,status,width_ok,width_error
T22,21,Jail,JAL,4,literal,Jail,JAL,blocked,True,
T22,23,Box,B,3,literal,Box,B,blocked,True,
T22,24,Paper,PPR,4,literal,Paper,PPR,blocked,True,
T22,25,Back,BCK,4,literal,Back,BCK,blocked,True,
T22,31,Prison,PRIS,5,literal,Prison,PRIS,blocked,True,
TT6C,1,Down,D,2,literal,Down,D,blocked,True,
TT6C,3,Take,GT,3,literal,Take,GT,blocked,True,
TT6C,4,Jar,JR,3,literal,Jar,JR,blocked,True,
TT6C,6,Ask,AS,3,literal,Ask,AS,blocked,True,
TT6C,10,Joseph,JOS,4,literal,Joseph,JOS,blocked,True,
TT6C,12,Baby,B,2,literal,Baby,B,blocked,True,
TT6C,14,My body,MY BOD,6,literal,My body,MY BOD,blocked,True,
TT6C,15,Kashim,KSH,4,literal,Kashim,KSH,blocked,True,
TT6C,16,Body,BOD,4,literal,Body,BOD,blocked,True,
TT6C,17,Time Belt,TBELT,6,literal,Time Belt,TBELT,blocked,True,
TT6C,22,Ground,GND,4,literal,Ground,GND,blocked,True,
TT6C,23,Hill,HL,3,literal,Hill,HL,blocked,True,
TT6C,24,Panel,PNL,4,literal,Panel,PNL,blocked,True,
TT6C,25,Yes,YS,3,literal,Yes,YS,blocked,True,
TT6C,26,Lid,LD,3,literal,Lid,LD,blocked,True,
TT6C,27,North,N,3,literal,North,N,blocked,True,
TT6C,29,West,W,3,literal,West,W,blocked,True,
TT6C,30,South,S,4,literal,South,S,blocked,True,
TT6C,31,Road,RD,3,literal,Road,RD,blocked,True,
TT6C,33,Paper,P,2,literal,Paper,P,blocked,True,
TT6C,34,Text,TX,3,literal,Text,TX,blocked,True,
TT6C,35,Outside,OT,3,literal,Outside,OT,blocked,True,
TT6C,36,Four,4,3,literal,Four,4,blocked,True,
TT6C,37,Five,5,3,literal,Five,5,blocked,True,
TT6C,38,Six,6,3,literal,Six,6,blocked,True,
TT6C,39,Seven,7,3,literal,Seven,7,blocked,True,
TT6C,44,Glazier,GLZR,5,literal,Glazier,GLZR,blocked,True,
TT6C,45,Blacksmith,SMT,4,literal,Blacksmith,SMT,blocked,True,
TT6C,46,Tavern,TAVN,4,literal,Tavern,TAVN,blocked,True,
TT6C,47,Tailor,TLR,4,literal,Tailor,TLR,blocked,True,
TT6C,48,Catherine,CATH,5,literal,Catherine,CATH,blocked,True,
TT6C,49,Mylene,MYLEN,5,literal,Mylene,MYLEN,blocked,True,
TT6C,50,Laura,LRA,4,literal,Laura,LRA,blocked,True,
TT6C,51,Isabel,ISABL,5,literal,Isabel,ISABL,blocked,True,
TT6C,52,Morocco,MOROC,5,literal,Morocco,MOROC,blocked,True,
TT6C,53,Rebecca,REBEC,5,literal,Rebecca,REBEC,blocked,True,
TT6C,56,Austria,AUST,6,literal,Austria,AUST,blocked,True,
TT6C,57,France,FRAN,4,literal,France,FRAN,blocked,True,
TT6C,58,Switzerland,SWIS,4,literal,Switzerland,SWIS,blocked,True,
TT6C,59,Belgium,BELG,5,literal,Belgium,BELG,blocked,True,
TT6C,60,Plantain,PLANT,5,literal,Plantain,PLANT,blocked,True,
TT6C,62,Fish mint,DOKU,5,literal,Fish mint,DOKU,blocked,True,
TT6C,63,Swertia,SENBR,5,literal,Swertia,SENBR,blocked,True,
TT6C,64,Daedalus,DAEDL,5,literal,Daedalus,DAEDL,blocked,True,
TT6C,65,Centaur,CENTA,6,literal,Centaur,CENTA,blocked,True,
TT6C,66,Atlas,ATL,4,literal,Atlas,ATL,blocked,True,
TT6C,67,Cerberus,CERBR,5,literal,Cerberus,CERBR,blocked,True,
TT6C,70,Tom,TM,3,literal,Tom,TM,blocked,True,
TT6C,71,Jim,JM,3,literal,Jim,JM,blocked,True,
TT6C,72,Serow,SRW,4,literal,Serow,SRW,blocked,True,
TT6C,73,Coyote,COY,5,literal,Coyote,COY,blocked,True,
TT6C,74,Reindeer,REIN,4,literal,Reindeer,REIN,blocked,True,
TT6C,80,Magdala,MAGDA,5,literal,Magdala,MAGDA,blocked,True,
TT6C,81,Nazareth,NZR,4,literal,Nazareth,NZR,blocked,True,
TT6C,82,Bethlehem,BETH,5,literal,Bethlehem,BETH,blocked,True,
TT6C,83,Jerusalem,JERUS,5,literal,Jerusalem,JERUS,blocked,True,
TT6C,84,Bishop,BISH,5,literal,Bishop,BISH,blocked,True,
TT6C,88,Jeanne,JEAN,5,literal,Jeanne,JEAN,blocked,True,
TT6C,89,Alexander,ALEX,6,literal,Alexander,ALEX,blocked,True,
TT6C,90,Lincoln,LINC,5,literal,Lincoln,LINC,blocked,True,
TT6C,93,Right,R,3,literal,Right,R,blocked,True,
TT6B,2,Smell,SM,3,literal,Smell,SM,blocked,True,
TT6B,6,Joseph,JOS,4,literal,Joseph,JOS,blocked,True,
TT6B,8,Body,BOD,4,literal,Body,BOD,blocked,True,
TT6B,9,Soil,SL,3,literal,Soil,SL,blocked,True,
TT6B,10,Glare,GLR,4,literal,Glare,GLR,blocked,True,
TT6B,19,North,N,3,literal,North,N,blocked,True,
TT6B,21,West,W,3,literal,West,W,blocked,True,
TT6B,22,South,S,4,literal,South,S,blocked,True,
TT6B,23,Forward,FWD,4,literal,Forward,FWD,blocked,True,
TT6B,24,Back,BCK,4,literal,Back,BCK,blocked,True,
TT6B,28,Trough,TRGH,5,literal,Trough,TRGH,blocked,True,
TT6B,29,Horse,HR,3,literal,Horse,HR,blocked,True,
TT6B,33,Wisdom,WIS,4,literal,Wisdom,WIS,blocked,True,
TT6B,34,Knowledge,KNOW,5,literal,Knowledge,KNOW,blocked,True,
TT6B,36,Baal,BAL,4,literal,Baal,BAL,blocked,True,
TT6B,37,Jehovah,JHV,4,literal,Jehovah,JHV,blocked,True,
TT6B,39,Jordan,JORDN,5,literal,Jordan,JORDN,blocked,True,
TT6B,40,Syria,SYR,4,literal,Syria,SYR,blocked,True,
TT6B,43,Solomon,SOLO,4,literal,Solomon,SOLO,blocked,True,
TT6B,44,Samson,SAM,4,literal,Samson,SAM,blocked,True,
TT6B,45,Jacob,JAC,4,literal,Jacob,JAC,blocked,True,
TT6B,46,Isaac,ISC,4,literal,Isaac,ISC,blocked,True,
TT6B,47,Saddam,SADM,4,literal,Saddam,SADM,blocked,True,
TT6B,48,Abraham,ABRAM,5,literal,Abraham,ABRAM,blocked,True,
TT6B,49,Satan,SATN,4,literal,Satan,SATN,blocked,True,
TT6B,50,Christ,CST,4,literal,Christ,CST,blocked,True,
TT6B,51,Zoroaster,ZORO,7,literal,Zoroaster,ZORO,blocked,True,
TT6B,58,Praise,PRSE,4,literal,Praise,PRSE,blocked,True,
TT6A,23,Right house,R H,5,literal,Right house,R H,blocked,True,
TT6A,24,Left house,L HSE,6,literal,Left house,L HSE,blocked,True,
TT6A,25,River,RV,3,literal,River,RV,blocked,True,
TT6A,28,Bowl,BL,4,literal,Bowl,BL,blocked,True,
TT6A,30,Bracelet,BRC,4,literal,Bracelet,BRC,blocked,True,
TT6A,31,Necklace,NECK,6,literal,Necklace,NECK,blocked,True,
TT6A,32,Wheat,WT,4,literal,Wheat,WT,blocked,True,
TT6A,36,Tools,TOOL,4,literal,Tools,TOOL,blocked,True,
TT6A,37,Stand,BD,3,literal,Stand,BD,blocked,True,
TT6A,38,On stand,ON BD,5,literal,On stand,ON BD,blocked,True,
TT4,0,Look,SE,3,literal,Look,SE,blocked,True,
TT4,4,Silver coin,S,2,literal,Silver coin,S,blocked,True,
TT4,7,Statue,STAT,5,literal,Statue,STAT,blocked,True,
TT4,8,Priest,PRST,4,literal,Priest,PRST,blocked,True,
TT4,9,Head,HD,3,literal,Head,HD,blocked,True,
TT4,18,Continuous,CONT,5,literal,Continuous,CONT,blocked,True,
TT4,19,Olive,O,2,literal,Olive,O,blocked,True,
TT4,21,Bell,BL,3,literal,Bell,BL,blocked,True,
TT4,22,Give,GV,4,literal,Give,GV,blocked,True,
TT4,27,Building,BLD,4,literal,Building,BLD,blocked,True,
TT4,28,Merchant,MRCH,5,literal,Merchant,MRCH,blocked,True,
TT4,30,Body,BOD,4,literal,Body,BOD,blocked,True,
TT4,31,Soil,SL,3,literal,Soil,SL,blocked,True,
TT4,32,Buy,BY,3,literal,Buy,BY,blocked,True,
TT4,33,Herb,H,2,literal,Herb,H,blocked,True,
TT4,35,Temple,TMPL,5,literal,Temple,TMPL,blocked,True,
TT4,38,Dario,DAR,4,literal,Dario,DAR,blocked,True,
TT4,42,Level,LVL,4,literal,Level,LVL,blocked,True,
TT4,45,Massage,RB,3,literal,Massage,RB,blocked,True,
TT4,51,North,N,3,literal,North,N,blocked,True,
TT4,53,West,W,3,literal,West,W,blocked,True,
TT4,54,Girl,GRL,4,literal,Girl,GRL,blocked,True,
TT4,55,Mother,MOM,4,literal,Mother,MOM,blocked,True,
TT4,57,Fish mint,DOKU,5,literal,Fish mint,DOKU,blocked,True,
TT4,58,Jiaogulan,JIAO,7,literal,Jiaogulan,JIAO,blocked,True,
TT4,61,Road,RD,3,literal,Road,RD,blocked,True,
TT4,62,Take,TK,3,literal,Take,TK,blocked,True,
TT4,63,Soldier,SOL,4,literal,Soldier,SOL,blocked,True,
TT4,64,Spear,SP,3,literal,Spear,SP,blocked,True,
TT4,66,Back,BCK,4,literal,Back,BCK,blocked,True,
TT4,68,Socrates,SOCR,5,literal,Socrates,SOCR,blocked,True,
TT4,69,Pythagoras,PYTH,6,literal,Pythagoras,PYTH,blocked,True,
TT4,71,Herodotus,HEROD,5,literal,Herodotus,HEROD,blocked,True,
TT4,72,Homer,HOM,4,literal,Homer,HOM,blocked,True,
TT4,76,Nicras,NIC,4,literal,Nicras,NIC,blocked,True,
TT4,77,Polis,POL,4,literal,Polis,POL,blocked,True,
TT4,78,Aristotle,ARIS,4,literal,Aristotle,ARIS,blocked,True,
TT4,79,Imelda,IMEL,5,literal,Imelda,IMEL,blocked,True,
TT4,80,Jakarta,JAKAR,6,literal,Jakarta,JAKAR,blocked,True,
TT4,81,Sparta,SPAR,5,literal,Sparta,SPAR,blocked,True,
TT4,82,Daedalus,DAEDAL,6,literal,Daedalus,DAEDAL,blocked,True,
TT4,83,Heracles,HERAC,5,literal,Heracles,HERAC,blocked,True,
TT4,84,Napoleon,NAPOL,5,literal,Napoleon,NAPOL,blocked,True,
TT4,85,Gorbachev,GORBY,7,literal,Gorbachev,GORBY,blocked,True,
TT4,86,Agamemnon,AGAM,6,literal,Agamemnon,AGAM,blocked,True,
TT4,87,Kannon,KAN,4,literal,Kannon,KAN,blocked,True,
TT4,88,Partisan,PARTSN,6,literal,Partisan,PARTSN,blocked,True,
TT4,89,Aisnon,AISNO,5,literal,Aisnon,AISNO,blocked,True,
TT4,90,Parthenon,PARTH,5,literal,Parthenon,PARTH,blocked,True,
TT4,91,Strawberry,STR,4,literal,Strawberry,STR,blocked,True,
TT4,92,Melon,MEL,4,literal,Melon,MEL,blocked,True,
TT4,96,Coffee,COFE,5,literal,Coffee,COFE,blocked,True,
TT5,0,Look,SE,3,literal,Look,SE,blocked,True,
TT5,2,Ask,AS,3,literal,Ask,AS,blocked,True,
TT5,5,Bell,BL,3,literal,Bell,BL,blocked,True,
TT5,8,Ruins,RUIN,4,literal,Ruins,RUIN,blocked,True,
TT5,9,Hoofprints,TRACK,6,literal,Hoofprints,TRACK,blocked,True,
TT5,10,North,N,3,literal,North,N,blocked,True,
TT5,12,West,W,3,literal,West,W,blocked,True,
TT5,13,Take,GT,3,literal,Take,GT,blocked,True,
TT5,17,Money,MN,3,literal,Money,MN,blocked,True,
TT5,18,Woods,WD,3,literal,Woods,WD,blocked,True,
TT5,22,Cotton,CT,3,literal,Cotton,CT,blocked,True,
TT5,23,Yes,YS,3,literal,Yes,YS,blocked,True,
TT5,30,Cotton,COT,4,literal,Cotton,COT,blocked,True,
TT5,34,4 cups,4B,4,literal,4 cups,4B,blocked,True,
TT5,35,6 cups,6B,4,literal,6 cups,6B,blocked,True,
TT5,36,8 cups,8B,4,literal,8 cups,8B,blocked,True,
TT5,37,10 cups,10B,5,literal,10 cups,10B,blocked,True,
TT5,38,25 baskets,25,4,literal,25 baskets,25,blocked,True,
TT5,39,26 baskets,26,4,literal,26 baskets,26,blocked,True,
TT5,40,27 baskets,27,4,literal,27 baskets,27,blocked,True,
TT5,41,28 baskets,28,4,literal,28 baskets,28,blocked,True,
TT5,42,1 place,1P,5,literal,1 place,1P,blocked,True,
TT5,43,2 places,2P,5,literal,2 places,2P,blocked,True,
TT5,44,3 places,3P,5,literal,3 places,3P,blocked,True,
TT5,45,4 places,4P,5,literal,4 places,4P,blocked,True,
TT5,46,60 centimeters,60 CM,6,literal,60 centimeters,60 CM,blocked,True,
TT5,47,65 centimeters,65 CM,6,literal,65 centimeters,65 CM,blocked,True,
TT5,48,70 centimeters,70 CM,6,literal,70 centimeters,70 CM,blocked,True,
TT5,49,75 centimeters,75 CM,6,literal,75 centimeters,75 CM,blocked,True,
TT5,50,30 minutes,30M,5,literal,30 minutes,30M,blocked,True,
TT5,51,60 minutes,60M,5,literal,60 minutes,60M,blocked,True,
TT5,52,90 minutes,90M,5,literal,90 minutes,90M,blocked,True,
TT5,53,120 minutes,120M,7,literal,120 minutes,120M,blocked,True,
TT5,54,Time,TM,3,literal,Time,TM,blocked,True,
TT5,57,Cavalry,CAV,5,literal,Cavalry,CAV,blocked,True,
TT5,59,White,WT,4,literal,White,WT,blocked,True,
TT5,60,Black,BK,4,literal,Black,BK,blocked,True,
TT5,61,Madame Dewi,DEWI,6,literal,Madame Dewi,DEWI,blocked,True,
TT5,62,Mrs. Stowe,STOWE,6,literal,Mrs. Stowe,STOWE,blocked,True,
TT5,63,Mrs. Akino,AKINO,6,literal,Mrs. Akino,AKINO,blocked,True,
TT5,64,Mrs. Mary,MARY,7,literal,Mrs. Mary,MARY,blocked,True,
TT5,66,Kilauea,KILAU,5,literal,Kilauea,KILAU,blocked,True,
TT5,68,Rushmore,RUSH,5,literal,Rushmore,RUSH,blocked,True,
TT5,69,Oiwake,OIWA,4,literal,Oiwake,OIWA,blocked,True,
TT5,70,Projector,PROJ,5,literal,Projector,PROJ,blocked,True,
TT5,74,Airplane,AIR,4,literal,Airplane,AIR,blocked,True,
TT5,76,Back,BCK,4,literal,Back,BCK,blocked,True,
TT5,77,Answer,ANS,4,literal,Answer,ANS,blocked,True,
TT5,78,Problem,PROB,5,literal,Problem,PROB,blocked,True,
TT5,79,Cow,CW,3,literal,Cow,CW,blocked,True,
TT5,80,Sheep,SHP,4,literal,Sheep,SHP,blocked,True,
TT5,81,Pig,PG,3,literal,Pig,PG,blocked,True,
TT5,84,Three,3,4,literal,Three,3,blocked,True,
TT5,88,Seven,7,4,literal,Seven,7,blocked,True,
TT5,89,Eight,8,4,literal,Eight,8,blocked,True,
TT5,92,Zero,0,2,literal,Zero,0,blocked,True,
TT5,93,One,1,2,literal,One,1,blocked,True,
TT5,94,Two,2,2,literal,Two,2,blocked,True,
TT5,95,Three,3,2,literal,Three,3,blocked,True,
TT5,96,Four,4,2,literal,Four,4,blocked,True,
TT5,97,Five,5,2,literal,Five,5,blocked,True,
TT5,99,Six,6,2,literal,Six,6,blocked,True,
TT5,100,Seven,7,2,literal,Seven,7,blocked,True,
TT5,101,Eight,8,2,literal,Eight,8,blocked,True,
TT5,102,Nine,9,2,literal,Nine,9,blocked,True,
TT5,107,Small,SM,4,literal,Small,SM,blocked,True,
TT5,108,Mansion,MANR,4,literal,Mansion,MANR,blocked,True,
TT5,111,Statue,STAT,5,literal,Statue,STAT,blocked,True,
T25,22,Take,GT,3,literal,Take,GT,blocked,True,
T25,37,River,RV,3,literal,River,RV,blocked,True,
