bank,index,old,new,slot,literal_size,priority,category,reason,blocker,next_step
TT3A,61,BT,Bottle,3,6,85,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,71,GHETO,Ghetto,5,6,70,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,72,RESID,Residence,6,8,70,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,73,RESIST,Resistance,6,9,70,group,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,74,REGSTR,Register,6,7,70,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,80,DLN,Delon,4,5,65,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,81,BELMO,Belmondo,6,8,65,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,82,PHIL,Philippe,6,7,65,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,84,MONTY,Montgomery,6,9,65,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,85,PTTN,Patton,5,6,65,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,86,EISEN,Eisenhower,6,9,65,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,87,ROOSVLT,Roosevelt,7,8,80,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,88,CHRCHL,Churchill,6,8,80,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,89,MACARTH,MacArthur,7,8,65,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,92,BRM,Broom,4,5,65,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,94,WMN,Woman,4,5,80,person,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,0,SE,Look,3,4,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT3A,2,GT,Take,3,4,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT3A,6,BOD,Body,4,5,95,object,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3A,32,WR,Wear,3,4,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT3A,36,BCK,Back,4,5,95,navigation,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT3A,56,N,North,3,5,100,compass,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT3A,58,W,West,3,4,100,compass,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT3A,64,S,South,4,5,100,compass,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT3A,67,BCK,Back,4,5,95,navigation,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT3B,7,SIM,Simon,4,5,70,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3B,17,RD,Road,3,4,55,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT3B,0,SE,Look,3,4,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT3B,2,GT,Take,3,4,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT3B,16,AS,Ask,3,4,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT2,10,GLS,Glass,4,5,80,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT2,15,KY,Key,3,4,85,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT2,22,BT,Bottle,3,6,85,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT2,51,WT,White,3,5,60,color,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT2,59,BLD,Building,4,8,75,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT2,61,TN,Town,3,4,75,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT2,63,WMN,Woman,4,5,80,person,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT2,0,SE,Look,3,4,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT2,2,GT,Take,3,4,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT2,4,AS,Ask,3,4,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT2,9,BOD,Body,4,5,95,object,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT2,13,DR,Drink,3,5,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT2,23,On,Wear,3,4,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT2,24,Of,Remove,3,6,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
T22,7,WMN,Woman,4,5,80,person,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
T22,9,KY,Key,3,4,85,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
T22,18,WL,Well,3,4,70,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
T22,20,HL,Hill,3,4,70,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
T22,21,JAL,Jail,4,5,75,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
T22,23,B,Baby,3,5,70,person,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
T22,31,PRIS,Prison,5,6,75,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
T22,3,AS,Ask,3,4,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
T22,14,GT,Take,3,4,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
T22,25,BCK,Back,4,5,95,navigation,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT6C,4,JR,Jar,3,4,75,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,10,JOS,Joseph,4,6,80,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,12,B,Baby,2,5,70,person,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,15,KSH,Kashim,4,6,70,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,17,TBELT,Time Belt,6,8,70,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,22,GND,Ground,4,6,70,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,23,HL,Hill,3,4,70,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,24,PNL,Panel,4,5,70,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,26,LD,Lid,3,4,70,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,31,RD,Road,3,4,55,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,33,P,Paper,2,5,70,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,35,OT,Outside,3,7,70,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,44,GLZR,Glazier,5,7,75,role,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,45,SMT,Blacksmith,4,9,75,role,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,46,TAVN,Tavern,4,6,75,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,47,TLR,Tailor,4,6,75,role,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,48,CATH,Catherine,5,8,75,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,51,ISABL,Isabel,5,6,75,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,52,MOROC,Morocco,5,7,75,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,53,REBEC,Rebecca,5,7,75,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,56,AUST,Austria,6,7,75,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,57,FRAN,France,4,6,75,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,58,SWIS,Switzerland,4,10,75,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,59,BELG,Belgium,5,7,75,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,62,DOKU,Fish mint,5,8,45,plant,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,63,SENBR,Swertia,5,7,45,plant,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,64,DAEDL,Daedalus,5,7,80,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,65,CENTA,Centaur,6,7,75,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,66,ATL,Atlas,4,5,75,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,67,CERBR,Cerberus,5,7,75,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,72,SRW,Serow,4,5,60,animal,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,73,COY,Coyote,5,6,70,animal,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,74,REIN,Reindeer,4,7,60,animal,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,80,MAGDA,Magdala,5,7,70,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,81,NZR,Nazareth,4,7,75,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,82,BETH,Bethlehem,5,8,75,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,84,BISH,Bishop,5,6,80,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,88,JEAN,Jeanne,5,6,75,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,89,ALEX,Alexander,6,8,75,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,90,LINC,Lincoln,5,7,75,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,0,SE,Look,3,4,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT6C,3,GT,Take,3,4,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT6C,6,AS,Ask,3,4,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT6C,14,MY BOD,My body,6,7,95,object,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,16,BOD,Body,4,5,95,object,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6C,25,YS,Yes,3,4,100,choice,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT6C,27,N,North,3,5,100,compass,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT6C,29,W,West,3,4,100,compass,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT6C,30,S,South,4,5,100,compass,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT6C,93,R,Right,3,5,90,navigation,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT6B,6,JOS,Joseph,4,6,80,name,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6B,9,SL,Soil,3,4,65,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6B,10,GLR,Glare,4,5,75,action,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6B,28,TRGH,Trough,5,6,70,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6B,29,HR,Horse,3,5,75,animal,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6B,33,WIS,Wisdom,4,6,70,quiz,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6B,34,KNOW,Knowledge,5,8,70,quiz,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6B,36,BAL,Baal,4,5,70,quiz,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6B,37,JHV,Jehovah,4,7,70,quiz,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6B,39,JORDN,Jordan,5,6,85,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6B,40,SYR,Syria,4,5,70,quiz,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6B,43,SOLO,Solomon,4,7,70,quiz,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6B,44,SAM,Samson,4,6,70,quiz,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6B,45,JAC,Jacob,4,5,70,quiz,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6B,46,ISC,Isaac,4,5,70,quiz,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6B,47,SADM,Saddam,4,6,70,quiz,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6B,48,ABRAM,Abraham,5,7,70,quiz,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6B,49,SATN,Satan,4,5,70,quiz,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6B,51,ZORO,Zoroaster,7,8,70,quiz,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6B,58,PRSE,Praise,4,6,75,action,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6B,0,SE,Look,3,4,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT6B,1,AS,Ask,3,4,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT6B,2,SM,Smell,3,5,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT6B,8,BOD,Body,4,5,95,object,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6B,19,N,North,3,5,100,compass,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT6B,21,W,West,3,4,100,compass,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT6B,22,S,South,4,5,100,compass,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT6B,23,FWD,Forward,4,7,90,navigation,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT6B,24,BCK,Back,4,5,95,navigation,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT6A,6,SK,Sky,3,4,80,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6A,11,SL,Soil,3,4,65,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6A,12,VL,Village,3,7,70,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6A,17,WL,Well,3,4,70,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6A,18,TRGH,Trough,5,6,70,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6A,19,RP,Rope,3,4,70,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6A,23,R H,Right house,5,10,70,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6A,24,L HSE,Left house,6,9,70,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6A,25,RV,River,3,5,70,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6A,28,BL,Bowl,4,5,70,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6A,30,BRC,Bracelet,4,8,70,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6A,31,NECK,Necklace,6,7,70,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6A,32,WT,Wheat,4,5,70,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6A,36,TOOL,Tools,4,5,70,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6A,37,BD,Stand,3,5,70,object,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6A,38,ON BD,On stand,5,7,70,place,needs_dictionary_low_priority,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6A,0,SE,Look,3,4,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT6A,1,AS,Ask,3,4,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT6A,2,SM,Smell,3,5,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
TT6A,7,BOD,Body,4,5,95,object,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,candidate for deeper recompression if visual polish warrants it
TT6A,13,DR,Drink,3,5,100,command,required_dictionary_overran_bank,requires new dictionary/compression work beyond existing or safely reusable slots,priority target for deeper recompression or table relocation branch
